id,name,setting,solution,section,level,level2,order,mission,problemset
51,three-steps-forward,{'fields': 'b|b|b|b|b;k|k|k|k|k;k|k|k|k|k;k|k|kS|k|k'},fff,1.1.1,1,1,1,commands,1011
49,turning-right,{'fields': 'b|bM|b|b|bM;kA|k|kM|k|kA;k|kM|kA|k|k;kA|k|kS|k|kM'},rff,1.2.1,1,2,1,commands,1012
44,turning-left,{'fields': 'bM|b|b|bM|b;kA|k|kM|k|kA;k|k|kA|kM|k;kM|k|kS|k|kA'},lff,1.2.2,1,2,2,commands,1012
26,turning-right-and-left,{'fields': 'b|bM|b|bM|bA;k|kA|kA|k|kM;kA|kM|k|kM|kA;kM|k|kS|kM|k'},frl,1.2.3,1,2,3,commands,1012
2,turning-left-and-right,{'fields': 'b|bM|b|bM|b;kM|kA|k|kA|k;kA|k|kA|kM|kA;k|kM|kS|k|kM'},lrf,1.2.4,1,2,4,commands,1012
31,diamond-on-right,{'fields': 'b|bM|b|b|b;k|k|k|kA|k;kA|k|k|k|kD;k|kM|k|k|k;k|k|kS|k|kM'},rrff,1.3.1,1,3,1,commands,1013
14,beware-of-asteroid,{'fields': 'bM|b|bD|b|b;k|kM|kA|k|kA;kA|k|kD|kM|k;k|k|kS|k|kM'},frl,1.3.2,1,3,2,commands,1013
67,plus,{'fields': 'b|b|bD|b|b;k|k|kA|k|k;k|kA|kA|kA|k;k|k|kA|k|k;k|k|kS|k|k'},rrll,1.3.3,1,3,3,commands,1013
86,diamond-path,{'fields': 'b|b|b|bD|b;k|k|kD|k|k;k|kD|k|k|k;k|k|kD|k|k;k|k|k|kD|k;k|k|kD|k|k;k|k|kS|k|k'},frllrr,1.3.4,1,3,4,commands,1013
66,surrounded-diamond,{'fields': 'b|bA|bM|bM|b;kA|k|k|k|kA;k|k|kA|kM|k;k|kM|kD|k|k;k|kM|kA|k|kM;kA|k|kM|kA|k;kM|k|kA|k|k;k|k|kS|k|kM'},rrlllfl,1.3.5,1,3,5,commands,1013
10,shot,{'fields': 'b|bA|b|bA|b;k|kA|kM|kA|k;k|kA|k|kA|k;k|kA|kS|kA|k'},fsf,2.1.1,2,1,1,commands-2,1021
8,shooting,{'fields': 'bA|bA|bA|b|bA;kA|k|kA|kM|kA;kA|k|kA|kM|kA;kA|k|kA|k|kA;kA|k|k|k|kA;kA|k|kS|k|kA'},rfssf,2.1.2,2,1,2,commands-2,1021
12,wormhole-demo,{'fields': 'b|b|b|b|b;k|k|k|k|k;kW|k|kA|kA|kA;kA|kA|kA|k|kW;k|k|k|k|k;k|k|kS|k|k'},rrff,2.2.1,2,2,1,commands-2,1022
